,ReactionID,Participation,Stiochiometry,MoleculeID
17769,R-HSA-9020271,Product,1,R-ALL-9024463
17770,R-HSA-9020271,Product,1,R-ALL-111745
17771,R-HSA-9020273,Substrate,2,R-ALL-29450
17772,R-HSA-9020273,Substrate,1,R-ALL-9024012
17773,R-HSA-9020273,Product,1,R-ALL-29356
17774,R-HSA-9020273,Product,1,R-ALL-9024815
17775,R-HSA-9020273,Product,1,R-ALL-111745
17776,R-HSA-9020274,Substrate,1,R-ALL-29368
17777,R-HSA-9020274,Substrate,1,R-ALL-9024011
17778,R-HSA-9020274,Product,1,R-ALL-9025012
17779,R-HSA-9020275,Substrate,1,R-ALL-29368
17780,R-HSA-9020275,Substrate,1,R-ALL-9024011
17781,R-HSA-9020275,Product,1,R-ALL-9024012
17782,R-HSA-9020277,Substrate,1,R-ALL-29366
17783,R-HSA-9020277,Substrate,1,R-ALL-9024797
17784,R-HSA-9020277,Product,1,R-ALL-29364
17785,R-HSA-9020277,Product,1,R-ALL-9024781
17786,R-HSA-9020278,Substrate,1,R-ALL-9024576
17787,R-HSA-9020278,Substrate,1,R-ALL-29366
17788,R-HSA-9020278,Product,1,R-ALL-9024577
17789,R-HSA-9020278,Product,1,R-ALL-29364
17790,R-HSA-9020282,Substrate,1,R-ALL-29368
17791,R-HSA-9020282,Substrate,1,R-ALL-9024815
17792,R-HSA-9020282,Product,1,R-ALL-9024765
17793,R-HSA-9020610,Substrate,1,R-ALL-29368
17794,R-HSA-9020610,Substrate,1,R-ALL-9020474
17795,R-HSA-9020610,Product,1,R-ALL-9022679
17796,R-HSA-9023968,Substrate,1,R-ALL-9022660
17797,R-HSA-9023968,Substrate,1,R-ALL-29360
17798,R-HSA-9023968,Product,1,R-ALL-9023963
17799,R-HSA-9023968,Product,1,R-ALL-73473
17800,R-HSA-9023980,Substrate,1,R-ALL-9023985
17801,R-HSA-9023980,Product,1,R-ALL-9029501
17802,R-HSA-9023983,Substrate,1,R-ALL-9023979
17803,R-HSA-9023983,Product,1,R-ALL-9023981
17804,R-HSA-9024586,Substrate,1,R-ALL-9024582
17805,R-HSA-9024586,Product,1,R-ALL-9024575
17806,R-HSA-9024624,Substrate,1,R-ALL-5359016
17807,R-HSA-9024624,Substrate,1,R-ALL-9024576
17808,R-HSA-9024624,Product,1,R-ALL-9024637
17809,R-HSA-9024624,Product,1,R-ALL-9024633
17810,R-HSA-9024630,Substrate,1,R-ALL-5359016
17811,R-HSA-9024630,Substrate,1,R-ALL-9024479
17812,R-HSA-9024630,Product,1,R-ALL-9024639
17813,R-HSA-9024630,Product,1,R-ALL-9024637
17814,R-HSA-9024766,Substrate,1,R-ALL-9024764
17815,R-HSA-9024766,Substrate,1,R-ALL-29360
17816,R-HSA-9024766,Product,1,R-ALL-9024799
17817,R-HSA-9024766,Product,1,R-ALL-73473
17818,R-HSA-9024785,Substrate,1,R-ALL-9024814
17819,R-HSA-9024785,Product,1,R-ALL-9024812
17820,R-HSA-9024872,Substrate,1,R-ALL-29368
17821,R-HSA-9024872,Substrate,1,R-ALL-9024012
17822,R-HSA-9024872,Product,1,R-ALL-9024883
17823,R-HSA-9024881,Substrate,1,R-ALL-29366
17824,R-HSA-9024881,Substrate,1,R-ALL-9024012
17825,R-HSA-9024881,Product,1,R-ALL-29364
17826,R-HSA-9024881,Product,1,R-ALL-9024873
17827,R-HSA-9024890,Substrate,1,R-ALL-29356
17828,R-HSA-9024890,Substrate,1,R-ALL-9024873
17829,R-HSA-9024890,Product,1,R-ALL-9024886
17830,R-HSA-9024973,Substrate,1,R-ALL-29356
17831,R-HSA-9024973,Substrate,1,R-ALL-9025001
17832,R-HSA-9024973,Product,1,R-ALL-9025000
17833,R-HSA-9024983,Substrate,1,R-ALL-9025012
17834,R-HSA-9024983,Substrate,1,R-ALL-29366
17835,R-HSA-9024983,Product,1,R-ALL-29364
17836,R-HSA-9024983,Product,1,R-ALL-9025001
17837,R-HSA-9024993,Substrate,1,R-ALL-70106
17838,R-HSA-9024993,Substrate,1,R-ALL-9025001
17839,R-HSA-9024993,Product,1,R-ALL-9025011
17840,R-HSA-9024997,Substrate,1,R-ALL-9025012
17841,R-HSA-9024997,Substrate,1,R-ALL-29368
17842,R-HSA-9024997,Product,1,R-ALL-9024989
17843,R-HSA-9025007,Substrate,1,R-ALL-5359016
17844,R-HSA-9025007,Substrate,1,R-ALL-9024989
17845,R-HSA-9025007,Product,1,R-ALL-9024637
