ID,RHEA_ID,GeneName
P0CT10,RHEA:21128,ERG6
P0CT10,RHEA:21128,ERG6
P0DKC5,RHEA:11388,HSD1
P0DKC5,RHEA:11388,HSD1
P0DKC5,RHEA:11388,HSD1
P0DKC5,RHEA:11388,HSD1
P0DKC5,RHEA:11388,HSD1
P0DKC6,RHEA:11388,HSD1
P0DKC6,RHEA:11388,HSD1
P0DKC6,RHEA:11388,HSD1
P0DKC6,RHEA:11388,HSD1
P0DKC6,RHEA:11388,HSD1
P0DKH4,RHEA:37895,
P0DKH4,RHEA:37895,
P0DKH4,RHEA:37895,
P0DKH4,RHEA:37895,
P0DKH4,RHEA:37895,
P0DM60,RHEA:60700,
P0DM60,RHEA:60700,
P0DM60,RHEA:60700,
P0DM60,RHEA:60700,
P0DM60,RHEA:60700,
P0DM60,RHEA:60704,
P0DM60,RHEA:60704,
P0DM60,RHEA:60704,
P0DM60,RHEA:60704,
P0DM60,RHEA:60704,
P0DTE4,RHEA:52568,UGT2A1
P0DTE4,RHEA:52568,UGT2A1
P0DTE4,RHEA:52568,UGT2A1
P0DTE4,RHEA:52568,UGT2A1
P0DTE4,RHEA:52568,UGT2A1
P10480,RHEA:21204,
P10480,RHEA:21204,
P10480,RHEA:21204,
P10480,RHEA:21204,
P10480,RHEA:21204,
P10612,RHEA:34335,CYP11A1
P10612,RHEA:34335,CYP11A1
P10612,RHEA:34335,CYP11A1
P10612,RHEA:34335,CYP11A1
P10612,RHEA:34335,CYP11A1
P10612,RHEA:34339,CYP11A1
P10612,RHEA:34339,CYP11A1
P10612,RHEA:34339,CYP11A1
P10612,RHEA:34339,CYP11A1
P10612,RHEA:34339,CYP11A1
P10612,RHEA:34343,CYP11A1
P10612,RHEA:34343,CYP11A1
P10612,RHEA:34343,CYP11A1
P10612,RHEA:34343,CYP11A1
P10612,RHEA:34343,CYP11A1
P10612,RHEA:35739,CYP11A1
P10612,RHEA:35739,CYP11A1
P10612,RHEA:35739,CYP11A1
P10612,RHEA:35739,CYP11A1
P10612,RHEA:35739,CYP11A1
P10632,RHEA:47204,CYP2C8
P10632,RHEA:47204,CYP2C8
P10632,RHEA:47204,CYP2C8
P10632,RHEA:47204,CYP2C8
P10632,RHEA:47204,CYP2C8
P10632,RHEA:47332,CYP2C8
P10632,RHEA:47332,CYP2C8
P10632,RHEA:47332,CYP2C8
P10632,RHEA:47332,CYP2C8
P10632,RHEA:47332,CYP2C8
P10635,RHEA:50256,CYP2D6
P10635,RHEA:50256,CYP2D6
P10635,RHEA:50256,CYP2D6
P10635,RHEA:50256,CYP2D6
P10635,RHEA:50256,CYP2D6
P10686,RHEA:33179,Plcg1
P10686,RHEA:33179,Plcg1
P10686,RHEA:33179,Plcg1
P10686,RHEA:33179,Plcg1
P10686,RHEA:33179,Plcg1
P10686,RHEA:43484,Plcg1
P10686,RHEA:43484,Plcg1
P10686,RHEA:43484,Plcg1
P10686,RHEA:43484,Plcg1
P10686,RHEA:43484,Plcg1
P10687,RHEA:33179,Plcb1
P10687,RHEA:33179,Plcb1
P10687,RHEA:33179,Plcb1
P10687,RHEA:33179,Plcb1
P10687,RHEA:33179,Plcb1
P10687,RHEA:43484,Plcb1
P10687,RHEA:43484,Plcb1
P10687,RHEA:43484,Plcb1
P10687,RHEA:43484,Plcb1
P10687,RHEA:43484,Plcb1
P10688,RHEA:33179,Plcd1
P10688,RHEA:33179,Plcd1
P10688,RHEA:33179,Plcd1
P10688,RHEA:33179,Plcd1
P10688,RHEA:33179,Plcd1
P10688,RHEA:43484,Plcd1
P10688,RHEA:43484,Plcd1
P10688,RHEA:43484,Plcd1
P10688,RHEA:43484,Plcd1
P10688,RHEA:43484,Plcd1
P10894,RHEA:33179,PLCB1
P10894,RHEA:33179,PLCB1
P10894,RHEA:33179,PLCB1
P10894,RHEA:33179,PLCB1
P10894,RHEA:33179,PLCB1
P10894,RHEA:43484,PLCB1
P10894,RHEA:43484,PLCB1
P10894,RHEA:43484,PLCB1
P10894,RHEA:43484,PLCB1
P10894,RHEA:43484,PLCB1
P10895,RHEA:33179,PLCD1
P10895,RHEA:33179,PLCD1
P10895,RHEA:33179,PLCD1
P10895,RHEA:33179,PLCD1
P10895,RHEA:33179,PLCD1
P10895,RHEA:43484,PLCD1
P10895,RHEA:43484,PLCD1
P10895,RHEA:43484,PLCD1
P10895,RHEA:43484,PLCD1
P10895,RHEA:43484,PLCD1
P11150,RHEA:38699,LIPC
P11150,RHEA:38699,LIPC
P11150,RHEA:38699,LIPC
P11150,RHEA:38699,LIPC
P11150,RHEA:38699,LIPC
P11150,RHEA:40475,LIPC
P11150,RHEA:40475,LIPC
P11150,RHEA:40475,LIPC
P11150,RHEA:40475,LIPC
P11150,RHEA:40475,LIPC
P11150,RHEA:40499,LIPC
P11150,RHEA:40499,LIPC
P11150,RHEA:40499,LIPC
P11150,RHEA:40499,LIPC
P11150,RHEA:40499,LIPC
P11150,RHEA:41384,LIPC
P11150,RHEA:41384,LIPC
P11150,RHEA:41384,LIPC
P11150,RHEA:41384,LIPC
P11150,RHEA:41384,LIPC
P11151,RHEA:38699,LPL
P11151,RHEA:38699,LPL
P11151,RHEA:38699,LPL
P11151,RHEA:38699,LPL
P11151,RHEA:38699,LPL
P11151,RHEA:40475,LPL
P11151,RHEA:40475,LPL
P11151,RHEA:40475,LPL
P11151,RHEA:40475,LPL
P11151,RHEA:40475,LPL
P11151,RHEA:41384,LPL
P11151,RHEA:41384,LPL
P11151,RHEA:41384,LPL
P11151,RHEA:41384,LPL
P11151,RHEA:41384,LPL
P11152,RHEA:38699,Lpl
P11152,RHEA:38699,Lpl
P11152,RHEA:38699,Lpl
P11152,RHEA:38699,Lpl
P11152,RHEA:38699,Lpl
P11152,RHEA:40475,Lpl
P11152,RHEA:40475,Lpl
P11152,RHEA:40475,Lpl
P11152,RHEA:40475,Lpl
P11152,RHEA:40475,Lpl
P11152,RHEA:41384,Lpl
P11152,RHEA:41384,Lpl
P11152,RHEA:41384,Lpl
P11152,RHEA:41384,Lpl
P11152,RHEA:41384,Lpl
P11153,RHEA:38699,LPL
P11153,RHEA:38699,LPL
P11153,RHEA:38699,LPL
P11153,RHEA:38699,LPL
P11153,RHEA:38699,LPL
P11153,RHEA:40475,LPL
P11153,RHEA:40475,LPL
P11153,RHEA:40475,LPL
P11153,RHEA:40475,LPL
P11153,RHEA:40475,LPL
P11153,RHEA:41384,LPL
P11153,RHEA:41384,LPL
P11153,RHEA:41384,LPL
P11153,RHEA:41384,LPL
P11153,RHEA:41384,LPL
P11511,RHEA:38191,CYP19A1
P11511,RHEA:38191,CYP19A1
P11511,RHEA:38191,CYP19A1
P11511,RHEA:38191,CYP19A1
P11511,RHEA:38191,CYP19A1
P11511,RHEA:38195,CYP19A1
P11511,RHEA:38195,CYP19A1
P11511,RHEA:38195,CYP19A1
P11511,RHEA:38195,CYP19A1
P11511,RHEA:38195,CYP19A1
P11511,RHEA:38199,CYP19A1
P11511,RHEA:38199,CYP19A1
P11511,RHEA:38199,CYP19A1
P11511,RHEA:38199,CYP19A1
P11511,RHEA:38199,CYP19A1
P11511,RHEA:38203,CYP19A1
P11511,RHEA:38203,CYP19A1
P11511,RHEA:38203,CYP19A1
P11511,RHEA:38203,CYP19A1
P11511,RHEA:38203,CYP19A1
P11511,RHEA:38207,CYP19A1
P11511,RHEA:38207,CYP19A1
P11511,RHEA:38207,CYP19A1
P11511,RHEA:38207,CYP19A1
P11511,RHEA:38207,CYP19A1
P11511,RHEA:47208,CYP19A1
P11511,RHEA:47208,CYP19A1
P11511,RHEA:47208,CYP19A1
P11511,RHEA:47208,CYP19A1
P11511,RHEA:47208,CYP19A1
P11511,RHEA:53200,CYP19A1
P11511,RHEA:53200,CYP19A1
P11511,RHEA:53200,CYP19A1
P11511,RHEA:53200,CYP19A1
P11511,RHEA:53200,CYP19A1
P11511,RHEA:53204,CYP19A1
P11511,RHEA:53204,CYP19A1
P11511,RHEA:53204,CYP19A1
P11511,RHEA:53204,CYP19A1
P11511,RHEA:53204,CYP19A1
P11511,RHEA:53276,CYP19A1
P11511,RHEA:53276,CYP19A1
P11511,RHEA:53276,CYP19A1
P11511,RHEA:53276,CYP19A1
P11511,RHEA:53276,CYP19A1
P11602,RHEA:38699,LPL
P11602,RHEA:38699,LPL
P11602,RHEA:38699,LPL
P11602,RHEA:38699,LPL
P11602,RHEA:38699,LPL
P11602,RHEA:40475,LPL
P11602,RHEA:40475,LPL
P11602,RHEA:40475,LPL
P11602,RHEA:40475,LPL
P11602,RHEA:40475,LPL
P11602,RHEA:41384,LPL
P11602,RHEA:41384,LPL
P11602,RHEA:41384,LPL
P11602,RHEA:41384,LPL
P11602,RHEA:41384,LPL
P11712,RHEA:47208,CYP2C9
P11712,RHEA:47208,CYP2C9
P11712,RHEA:47208,CYP2C9
P11712,RHEA:47208,CYP2C9
P11712,RHEA:47208,CYP2C9
P11712,RHEA:47212,CYP2C9
P11712,RHEA:47212,CYP2C9
P11712,RHEA:47212,CYP2C9
P11712,RHEA:47212,CYP2C9
P11712,RHEA:47212,CYP2C9
